iteration,day_index,date,actual_customers,actual_revenue_entry,actual_revenue_consumables,actual_revenue_other,actual_total_revenue,actual_expenses_daily,actual_expenses_periodic,actual_total_expenses,daily_cashflow,cumulative_cashflow
1,66,2026-02-11,30,450,66,320,836,0,0,0,836,-15649
1,67,2026-02-12,26,390,81,160,631,0,0,0,631,-15018
1,68,2026-02-13,35,525,99,180,804,0,0,0,804,-14214
1,69,2026-02-14,39,585,129,360,1074,0,0,0,1074,-13140
1,70,2026-02-15,2,30,0,20,50,0,300,300,-250,-13390
1,71,2026-02-16,4,60,15,0,75,0,0,0,75,-13315
1,72,2026-02-17,9,135,33,40,208,0,0,0,208,-13107
1,73,2026-02-18,4,60,9,0,69,0,0,0,69,-13038
1,74,2026-02-19,10,150,45,60,255,0,0,0,255,-12783
1,75,2026-02-20,8,120,15,60,195,0,0,0,195,-12588
1,76,2026-02-21,21,315,81,140,536,0,0,0,536,-12052
1,77,2026-02-22,6,90,15,80,185,0,300,300,-115,-12167
1,78,2026-02-23,13,195,60,40,295,0,0,0,295,-11872
1,79,2026-02-24,9,135,27,80,242,0,0,0,242,-11630
1,80,2026-02-25,8,120,39,40,199,0,0,0,199,-11431
1,81,2026-02-26,9,135,30,60,225,0,0,0,225,-11206
1,82,2026-02-27,22,330,69,180,579,0,0,0,579,-10627
1,83,2026-02-28,20,300,57,280,637,0,0,0,637,-9990
1,84,2026-03-01,17,255,57,60,372,0,6300,6300,-5928,-15918
1,85,2026-03-02,3,45,12,20,77,0,0,0,77,-15841
1,86,2026-03-03,7,105,36,0,141,0,0,0,141,-15700
1,87,2026-03-04,8,120,24,40,184,0,0,0,184,-15516
1,88,2026-03-05,13,195,48,20,263,0,0,0,263,-15253
1,89,2026-03-06,11,165,36,140,341,0,0,0,341,-14912
1,90,2026-03-07,15,225,48,80,353,0,0,0,353,-14559
1,91,2026-03-08,18,270,45,60,375,0,300,300,75,-14484
1,92,2026-03-09,0,0,0,0,0,0,0,0,0,-14484
1,93,2026-03-10,7,105,24,20,149,0,0,0,149,-14335
1,94,2026-03-11,8,120,12,60,192,0,0,0,192,-14143
1,95,2026-03-12,7,105,30,20,155,0,0,0,155,-13988
1,96,2026-03-13,15,225,54,100,379,0,0,0,379,-13609
1,97,2026-03-14,21,315,66,180,561,0,0,0,561,-13048
1,98,2026-03-15,8,120,27,40,187,0,300,300,-113,-13161
1,99,2026-03-16,10,150,21,80,251,0,0,0,251,-12910
1,100,2026-03-17,9,135,24,120,279,0,0,0,279,-12631
1,101,2026-03-18,9,135,21,40,196,0,0,0,196,-12435
1,102,2026-03-19,7,105,9,0,114,0,0,0,114,-12321
1,103,2026-03-20,9,135,21,140,296,0,0,0,296,-12025
1,104,2026-03-21,19,285,42,220,547,0,0,0,547,-11478
1,105,2026-03-22,13,195,48,80,323,0,300,300,23,-11455
1,106,2026-03-23,7,105,15,0,120,0,0,0,120,-11335
1,107,2026-03-24,14,210,48,20,278,0,0,0,278,-11057
1,108,2026-03-25,16,240,45,20,305,0,0,0,305,-10752
1,109,2026-03-26,10,150,30,80,260,0,0,0,260,-10492
1,110,2026-03-27,18,270,33,0,303,0,0,0,303,-10189
1,111,2026-03-28,13,195,21,120,336,0,0,0,336,-9853
1,112,2026-03-29,14,210,39,40,289,0,300,300,-11,-9864
1,113,2026-03-30,6,90,18,0,108,0,0,0,108,-9756
1,114,2026-03-31,21,315,57,100,472,0,0,0,472,-9284
1,115,2026-04-01,17,255,51,60,366,0,6000,6000,-5634,-14918
1,116,2026-04-02,12,180,48,20,248,0,0,0,248,-14670
1,117,2026-04-03,19,285,63,120,468,0,0,0,468,-14202
1,118,2026-04-04,26,390,69,80,539,0,0,0,539,-13663
1,119,2026-04-05,18,270,78,320,668,0,300,300,368,-13295
1,120,2026-04-06,15,225,39,200,464,0,0,0,464,-12831
1,121,2026-04-07,7,105,33,40,178,0,0,0,178,-12653
1,122,2026-04-08,6,90,18,0,108,0,0,0,108,-12545
1,123,2026-04-09,9,135,42,40,217,0,0,0,217,-12328
1,124,2026-04-10,16,240,63,20,323,0,0,0,323,-12005
1,125,2026-04-11,10,150,27,60,237,0,0,0,237,-11768
1,126,2026-04-12,15,225,54,140,419,0,300,300,119,-11649
1,127,2026-04-13,9,135,21,0,156,0,0,0,156,-11493
1,128,2026-04-14,0,0,0,0,0,0,0,0,0,-11493
1,129,2026-04-15,12,180,30,60,270,0,0,0,270,-11223
1,130,2026-04-16,15,225,33,80,338,0,0,0,338,-10885
1,131,2026-04-17,21,315,69,80,464,0,0,0,464,-10421
1,132,2026-04-18,16,240,51,140,431,0,0,0,431,-9990
1,133,2026-04-19,22,330,66,100,496,0,300,300,196,-9794
1,134,2026-04-20,9,135,36,100,271,0,0,0,271,-9523
1,135,2026-04-21,11,165,36,60,261,0,0,0,261,-9262
1,136,2026-04-22,10,150,15,120,285,0,0,0,285,-8977
1,137,2026-04-23,9,135,9,60,204,0,0,0,204,-8773
1,138,2026-04-24,15,225,33,80,338,0,0,0,338,-8435
1,139,2026-04-25,11,165,27,100,292,0,0,0,292,-8143
1,140,2026-04-26,15,225,54,60,339,0,300,300,39,-8104
1,141,2026-04-27,10,150,24,100,274,0,0,0,274,-7830
1,142,2026-04-28,8,120,36,100,256,0,0,0,256,-7574
1,143,2026-04-29,9,135,39,60,234,0,0,0,234,-7340
1,144,2026-04-30,9,135,27,20,182,0,0,0,182,-7158
1,145,2026-05-01,15,225,39,40,304,0,6000,6000,-5696,-12854
1,146,2026-05-02,16,240,48,60,348,0,0,0,348,-12506
1,147,2026-05-03,17,255,39,160,454,0,300,300,154,-12352
1,148,2026-05-04,13,195,36,60,291,0,0,0,291,-12061
1,149,2026-05-05,8,120,9,40,169,0,0,0,169,-11892
1,150,2026-05-06,16,240,48,100,388,0,0,0,388,-11504
1,151,2026-05-07,11,165,51,40,256,0,0,0,256,-11248
1,152,2026-05-08,10,150,39,40,229,0,0,0,229,-11019
1,153,2026-05-09,16,240,36,40,316,0,0,0,316,-10703
1,154,2026-05-10,13,195,27,20,242,0,300,300,-58,-10761
1,155,2026-05-11,2,30,12,0,42,0,0,0,42,-10719
1,156,2026-05-12,8,120,18,60,198,0,0,0,198,-10521
1,157,2026-05-13,6,90,36,80,206,0,0,0,206,-10315
1,158,2026-05-14,5,75,24,80,179,0,0,0,179,-10136
1,159,2026-05-15,12,180,51,80,311,0,0,0,311,-9825
1,160,2026-05-16,15,225,42,100,367,0,0,0,367,-9458
1,161,2026-05-17,9,135,18,100,253,0,300,300,-47,-9505
1,162,2026-05-18,3,45,9,0,54,0,0,0,54,-9451
1,163,2026-05-19,11,165,27,100,292,0,0,0,292,-9159
1,164,2026-05-20,13,195,33,80,308,0,0,0,308,-8851
1,165,2026-05-21,17,255,51,100,406,0,0,0,406,-8445
1,166,2026-05-22,11,165,39,60,264,0,0,0,264,-8181
1,167,2026-05-23,14,210,39,120,369,0,0,0,369,-7812
1,168,2026-05-24,16,240,36,0,276,0,300,300,-24,-7836
1,169,2026-05-25,11,165,33,100,298,0,0,0,298,-7538
1,170,2026-05-26,10,150,27,80,257,0,0,0,257,-7281
1,171,2026-05-27,11,165,36,100,301,0,0,0,301,-6980
1,172,2026-05-28,8,120,18,100,238,0,0,0,238,-6742
1,173,2026-05-29,9,135,45,60,240,0,0,0,240,-6502
1,174,2026-05-30,10,150,36,20,206,0,0,0,206,-6296
1,175,2026-05-31,14,210,39,0,249,0,300,300,-51,-6347
1,176,2026-06-01,11,165,18,20,203,0,6000,6000,-5797,-12144
1,177,2026-06-02,13,195,24,60,279,0,0,0,279,-11865
1,178,2026-06-03,15,225,48,140,413,0,0,0,413,-11452
1,179,2026-06-04,13,195,30,180,405,0,0,0,405,-11047
1,180,2026-06-05,23,345,96,240,681,0,0,0,681,-10366
1,181,2026-06-06,21,315,33,20,368,0,0,0,368,-9998
1,182,2026-06-07,7,105,27,60,192,0,300,300,-108,-10106
1,183,2026-06-08,5,75,12,60,147,0,0,0,147,-9959
1,184,2026-06-09,9,135,27,20,182,0,0,0,182,-9777
1,185,2026-06-10,9,135,27,60,222,0,0,0,222,-9555
1,186,2026-06-11,0,0,0,0,0,0,0,0,0,-9555
1,187,2026-06-12,14,210,48,120,378,0,0,0,378,-9177
1,188,2026-06-13,17,255,84,100,439,0,0,0,439,-8738
1,189,2026-06-14,6,90,27,120,237,0,300,300,-63,-8801
1,190,2026-06-15,11,165,45,40,250,0,0,0,250,-8551
1,191,2026-06-16,11,165,21,200,386,0,0,0,386,-8165
1,192,2026-06-17,9,135,48,240,423,0,0,0,423,-7742
1,193,2026-06-18,13,195,24,120,339,0,0,0,339,-7403
1,194,2026-06-19,13,195,36,20,251,0,0,0,251,-7152
1,195,2026-06-20,13,195,30,60,285,0,0,0,285,-6867
1,196,2026-06-21,7,105,18,20,143,0,300,300,-157,-7024
1,197,2026-06-22,8,120,27,40,187,0,0,0,187,-6837
1,198,2026-06-23,10,150,21,80,251,0,0,0,251,-6586
1,199,2026-06-24,9,135,45,80,260,0,0,0,260,-6326
1,200,2026-06-25,7,105,12,100,217,0,0,0,217,-6109
1,201,2026-06-26,15,225,54,140,419,0,0,0,419,-5690
1,202,2026-06-27,17,255,63,60,378,0,0,0,378,-5312
1,203,2026-06-28,14,210,57,0,267,0,300,300,-33,-5345
1,204,2026-06-29,10,150,27,140,317,0,0,0,317,-5028
1,205,2026-06-30,19,285,57,40,382,0,0,0,382,-4646
1,206,2026-07-01,13,195,30,60,285,0,6000,6000,-5715,-10361
1,207,2026-07-02,12,180,48,40,268,0,0,0,268,-10093
1,208,2026-07-03,19,285,39,80,404,0,0,0,404,-9689
1,209,2026-07-04,25,375,66,120,561,0,0,0,561,-9128
1,210,2026-07-05,16,240,39,200,479,0,300,300,179,-8949
1,211,2026-07-06,12,180,33,40,253,0,0,0,253,-8696
1,212,2026-07-07,14,210,30,60,300,0,0,0,300,-8396
1,213,2026-07-08,12,180,21,40,241,0,0,0,241,-8155
1,214,2026-07-09,5,75,21,40,136,0,0,0,136,-8019
1,215,2026-07-10,20,300,63,160,523,0,0,0,523,-7496
1,216,2026-07-11,21,315,78,180,573,0,0,0,573,-6923
1,217,2026-07-12,12,180,30,120,330,0,300,300,30,-6893
1,218,2026-07-13,11,165,36,140,341,0,0,0,341,-6552
1,219,2026-07-14,6,90,24,60,174,0,0,0,174,-6378
1,220,2026-07-15,9,135,30,60,225,0,0,0,225,-6153
1,221,2026-07-16,13,195,39,160,394,0,0,0,394,-5759
1,222,2026-07-17,12,180,54,240,474,0,0,0,474,-5285
1,223,2026-07-18,21,315,60,60,435,0,0,0,435,-4850
1,224,2026-07-19,11,165,33,140,338,0,300,300,38,-4812
1,225,2026-07-20,11,165,36,40,241,0,0,0,241,-4571
1,226,2026-07-21,9,135,15,0,150,0,0,0,150,-4421
1,227,2026-07-22,9,135,36,20,191,0,0,0,191,-4230
1,228,2026-07-23,18,270,57,80,407,0,0,0,407,-3823
1,229,2026-07-24,8,120,27,0,147,0,0,0,147,-3676
1,230,2026-07-25,17,255,51,40,346,0,0,0,346,-3330
1,231,2026-07-26,11,165,30,40,235,0,300,300,-65,-3395
1,232,2026-07-27,15,225,57,140,422,0,0,0,422,-2973
1,233,2026-07-28,7,105,30,0,135,0,0,0,135,-2838
1,234,2026-07-29,11,165,30,20,215,0,0,0,215,-2623
1,235,2026-07-30,3,45,9,60,114,0,0,0,114,-2509
1,236,2026-07-31,24,360,87,180,627,0,0,0,627,-1882
1,237,2026-08-01,24,360,66,220,646,0,6000,6000,-5354,-7236
1,238,2026-08-02,10,150,30,140,320,0,300,300,20,-7216
1,239,2026-08-03,9,135,30,60,225,0,0,0,225,-6991
1,240,2026-08-04,10,150,21,60,231,0,0,0,231,-6760
1,241,2026-08-05,10,150,18,20,188,0,0,0,188,-6572
1,242,2026-08-06,5,75,15,0,90,0,0,0,90,-6482
1,243,2026-08-07,18,270,57,120,447,0,0,0,447,-6035
1,244,2026-08-08,18,270,66,100,436,0,0,0,436,-5599
1,245,2026-08-09,11,165,30,60,255,0,300,300,-45,-5644
1,246,2026-08-10,7,105,18,80,203,0,0,0,203,-5441
1,247,2026-08-11,12,180,54,60,294,0,0,0,294,-5147
1,248,2026-08-12,16,240,48,160,448,0,0,0,448,-4699
1,249,2026-08-13,11,165,33,100,298,0,0,0,298,-4401
1,250,2026-08-14,13,195,51,100,346,0,0,0,346,-4055
1,251,2026-08-15,10,150,33,120,303,0,0,0,303,-3752
1,252,2026-08-16,16,240,60,20,320,0,300,300,20,-3732
1,253,2026-08-17,9,135,21,60,216,0,0,0,216,-3516
1,254,2026-08-18,14,210,36,40,286,0,0,0,286,-3230
1,255,2026-08-19,20,300,69,120,489,0,0,0,489,-2741
1,256,2026-08-20,8,120,18,120,258,0,0,0,258,-2483
1,257,2026-08-21,15,225,33,80,338,0,0,0,338,-2145
1,258,2026-08-22,23,345,78,120,543,0,0,0,543,-1602
1,259,2026-08-23,17,255,51,160,466,0,300,300,166,-1436
1,260,2026-08-24,15,225,57,40,322,0,0,0,322,-1114
1,261,2026-08-25,16,240,54,20,314,0,0,0,314,-800
1,262,2026-08-26,17,255,63,140,458,0,0,0,458,-342
1,263,2026-08-27,7,105,18,80,203,0,0,0,203,-139
1,264,2026-08-28,19,285,69,120,474,0,0,0,474,335
1,265,2026-08-29,19,285,54,20,359,0,0,0,359,694
1,266,2026-08-30,17,255,45,20,320,0,300,300,20,714
1,267,2026-08-31,4,60,15,40,115,0,0,0,115,829
1,268,2026-09-01,12,180,45,20,245,0,6000,6000,-5755,-4926
1,269,2026-09-02,6,90,27,80,197,0,0,0,197,-4729
1,270,2026-09-03,7,105,27,40,172,0,0,0,172,-4557
1,271,2026-09-04,8,120,18,20,158,0,0,0,158,-4399
1,272,2026-09-05,12,180,24,80,284,0,0,0,284,-4115
1,273,2026-09-06,9,135,27,40,202,0,300,300,-98,-4213
1,274,2026-09-07,4,60,12,0,72,0,0,0,72,-4141
1,275,2026-09-08,3,45,3,40,88,0,0,0,88,-4053
1,276,2026-09-09,4,60,18,0,78,0,0,0,78,-3975
1,277,2026-09-10,3,45,9,0,54,0,0,0,54,-3921
1,278,2026-09-11,11,165,42,80,287,0,0,0,287,-3634
1,279,2026-09-12,9,135,18,0,153,0,0,0,153,-3481
1,280,2026-09-13,3,45,9,60,114,0,300,300,-186,-3667
1,281,2026-09-14,2,30,3,0,33,0,0,0,33,-3634
1,282,2026-09-15,8,120,12,80,212,0,0,0,212,-3422
1,283,2026-09-16,13,195,27,140,362,0,0,0,362,-3060
1,284,2026-09-17,13,195,42,120,357,0,0,0,357,-2703
1,285,2026-09-18,14,210,48,0,258,0,0,0,258,-2445
1,286,2026-09-19,16,240,36,40,316,0,0,0,316,-2129
1,287,2026-09-20,16,240,66,80,386,0,300,300,86,-2043
1,288,2026-09-21,11,165,45,40,250,0,0,0,250,-1793
1,289,2026-09-22,11,165,24,40,229,0,0,0,229,-1564
1,290,2026-09-23,11,165,48,40,253,0,0,0,253,-1311
1,291,2026-09-24,14,210,63,40,313,0,0,0,313,-998
1,292,2026-09-25,15,225,45,40,310,0,0,0,310,-688
1,293,2026-09-26,18,270,45,40,355,0,0,0,355,-333
1,294,2026-09-27,7,105,21,20,146,0,300,300,-154,-487
1,295,2026-09-28,8,120,24,120,264,0,0,0,264,-223
1,296,2026-09-29,14,210,42,40,292,0,0,0,292,69
1,297,2026-09-30,9,135,30,60,225,0,0,0,225,294
1,298,2026-10-01,15,225,51,60,336,0,6000,6000,-5664,-5370
1,299,2026-10-02,19,285,72,180,537,0,0,0,537,-4833
1,300,2026-10-03,23,345,78,120,543,0,0,0,543,-4290
1,301,2026-10-04,9,135,18,20,173,0,300,300,-127,-4417
1,302,2026-10-05,10,150,27,40,217,0,0,0,217,-4200
1,303,2026-10-06,4,60,6,20,86,0,0,0,86,-4114
1,304,2026-10-07,11,165,33,120,318,0,0,0,318,-3796
1,305,2026-10-08,5,75,15,0,90,0,0,0,90,-3706
1,306,2026-10-09,13,195,54,60,309,0,0,0,309,-3397
1,307,2026-10-10,6,90,15,0,105,0,0,0,105,-3292
1,308,2026-10-11,12,180,24,60,264,0,300,300,-36,-3328
1,309,2026-10-12,2,30,6,0,36,0,0,0,36,-3292
1,310,2026-10-13,13,195,30,140,365,0,0,0,365,-2927
1,311,2026-10-14,6,90,6,0,96,0,0,0,96,-2831
1,312,2026-10-15,7,105,15,60,180,0,0,0,180,-2651
1,313,2026-10-16,9,135,24,120,279,0,0,0,279,-2372
1,314,2026-10-17,9,135,36,160,331,0,0,0,331,-2041
1,315,2026-10-18,10,150,21,80,251,0,300,300,-49,-2090
1,316,2026-10-19,2,30,3,0,33,0,0,0,33,-2057
1,317,2026-10-20,14,210,21,100,331,0,0,0,331,-1726
1,318,2026-10-21,3,45,15,0,60,0,0,0,60,-1666
1,319,2026-10-22,6,90,18,0,108,0,0,0,108,-1558
1,320,2026-10-23,13,195,36,20,251,0,0,0,251,-1307
1,321,2026-10-24,20,300,90,220,610,0,0,0,610,-697
1,322,2026-10-25,14,210,39,60,309,0,300,300,9,-688
1,323,2026-10-26,13,195,48,20,263,0,0,0,263,-425
1,324,2026-10-27,16,240,48,120,408,0,0,0,408,-17
1,325,2026-10-28,10,150,33,40,223,0,0,0,223,206
1,326,2026-10-29,5,75,9,80,164,0,0,0,164,370
1,327,2026-10-30,13,195,36,40,271,0,0,0,271,641
1,328,2026-10-31,20,300,48,140,488,0,0,0,488,1129
1,329,2026-11-01,15,225,54,60,339,0,6300,6300,-5961,-4832
1,330,2026-11-02,14,210,39,60,309,0,0,0,309,-4523
1,331,2026-11-03,3,45,6,0,51,0,0,0,51,-4472
1,332,2026-11-04,10,150,24,20,194,0,0,0,194,-4278
1,333,2026-11-05,17,255,57,80,392,0,0,0,392,-3886
1,334,2026-11-06,11,165,36,120,321,0,0,0,321,-3565
1,335,2026-11-07,13,195,48,240,483,0,0,0,483,-3082
1,336,2026-11-08,15,225,24,60,309,0,300,300,9,-3073
1,337,2026-11-09,11,165,27,60,252,0,0,0,252,-2821
1,338,2026-11-10,6,90,18,20,128,0,0,0,128,-2693
1,339,2026-11-11,12,180,45,60,285,0,0,0,285,-2408
1,340,2026-11-12,15,225,63,80,368,0,0,0,368,-2040
1,341,2026-11-13,9,135,24,20,179,0,0,0,179,-1861
1,342,2026-11-14,15,225,51,0,276,0,0,0,276,-1585
1,343,2026-11-15,11,165,30,40,235,0,300,300,-65,-1650
1,344,2026-11-16,6,90,21,80,191,0,0,0,191,-1459
1,345,2026-11-17,3,45,9,0,54,0,0,0,54,-1405
1,346,2026-11-18,13,195,48,80,323,0,0,0,323,-1082
1,347,2026-11-19,7,105,12,60,177,0,0,0,177,-905
1,348,2026-11-20,15,225,66,120,411,0,0,0,411,-494
1,349,2026-11-21,13,195,45,120,360,0,0,0,360,-134
1,350,2026-11-22,7,105,33,0,138,0,300,300,-162,-296
1,351,2026-11-23,3,45,9,20,74,0,0,0,74,-222
1,352,2026-11-24,10,150,30,80,260,0,0,0,260,38
1,353,2026-11-25,12,180,33,100,313,0,0,0,313,351
1,354,2026-11-26,9,135,36,40,211,0,0,0,211,562
1,355,2026-11-27,11,165,33,40,238,0,0,0,238,800
1,356,2026-11-28,17,255,27,120,402,0,0,0,402,1202
1,357,2026-11-29,13,195,39,120,354,0,300,300,54,1256
1,358,2026-11-30,10,150,24,120,294,0,0,0,294,1550
1,359,2026-12-01,11,165,24,20,209,0,6000,6000,-5791,-4241
1,360,2026-12-02,11,165,45,100,310,0,0,0,310,-3931
1,361,2026-12-03,10,150,15,0,165,0,0,0,165,-3766
1,362,2026-12-04,6,90,15,40,145,0,0,0,145,-3621
1,363,2026-12-05,6,90,27,20,137,0,0,0,137,-3484
1,364,2026-12-06,5,75,18,40,133,0,300,300,-167,-3651
1,365,2026-12-07,2,30,6,0,36,0,0,0,36,-3615
1,366,2026-12-08,9,135,24,40,199,0,0,0,199,-3416
1,367,2026-12-09,10,150,21,80,251,0,0,0,251,-3165
1,368,2026-12-10,13,195,30,40,265,0,0,0,265,-2900
1,369,2026-12-11,18,270,42,140,452,0,0,0,452,-2448
1,370,2026-12-12,12,180,27,80,287,0,0,0,287,-2161
1,371,2026-12-13,5,75,12,0,87,0,300,300,-213,-2374
1,372,2026-12-14,10,150,33,60,243,0,0,0,243,-2131
1,373,2026-12-15,11,165,27,20,212,0,0,0,212,-1919
1,374,2026-12-16,11,165,39,0,204,0,0,0,204,-1715
1,375,2026-12-17,8,120,21,40,181,0,0,0,181,-1534
1,376,2026-12-18,12,180,33,0,213,0,0,0,213,-1321
1,377,2026-12-19,17,255,60,100,415,0,0,0,415,-906
1,378,2026-12-20,14,210,39,80,329,0,300,300,29,-877
1,379,2026-12-21,20,300,72,140,512,0,0,0,512,-365
1,380,2026-12-22,14,210,42,20,272,0,0,0,272,-93
1,381,2026-12-23,16,240,48,40,328,0,0,0,328,235
1,382,2026-12-24,17,255,42,120,417,0,0,0,417,652
1,383,2026-12-25,25,375,84,80,539,0,0,0,539,1191
1,384,2026-12-26,22,330,69,340,739,0,0,0,739,1930
1,385,2026-12-27,28,420,78,180,678,0,300,300,378,2308
1,386,2026-12-28,16,240,48,40,328,0,0,0,328,2636
1,387,2026-12-29,18,270,63,40,373,0,0,0,373,3009
1,388,2026-12-30,17,255,57,120,432,0,0,0,432,3441
1,389,2026-12-31,19,285,54,200,539,0,0,0,539,3980
1,390,2027-01-01,6,90,21,0,111,0,13000,13000,-12889,-8909
1,391,2027-01-02,15,225,27,40,292,0,0,0,292,-8617
1,392,2027-01-03,15,225,33,60,318,0,300,300,18,-8599
1,393,2027-01-04,9,135,24,0,159,0,0,0,159,-8440
1,394,2027-01-05,4,60,18,100,178,0,0,0,178,-8262
1,395,2027-01-06,16,240,42,20,302,0,0,0,302,-7960
1,396,2027-01-07,11,165,33,0,198,0,0,0,198,-7762
1,397,2027-01-08,13,195,42,200,437,0,0,0,437,-7325
1,398,2027-01-09,12,180,36,120,336,0,0,0,336,-6989
1,399,2027-01-10,15,225,39,140,404,0,300,300,104,-6885
1,400,2027-01-11,6,90,18,0,108,0,0,0,108,-6777
1,401,2027-01-12,17,255,48,120,423,0,0,0,423,-6354
1,402,2027-01-13,4,60,15,0,75,0,0,0,75,-6279
1,403,2027-01-14,10,150,33,40,223,0,0,0,223,-6056
1,404,2027-01-15,18,270,75,60,405,0,0,0,405,-5651
1,405,2027-01-16,15,225,57,40,322,0,0,0,322,-5329
1,406,2027-01-17,14,210,33,140,383,0,300,300,83,-5246
1,407,2027-01-18,6,90,24,80,194,0,0,0,194,-5052
1,408,2027-01-19,4,60,15,20,95,0,0,0,95,-4957
1,409,2027-01-20,17,255,54,220,529,0,0,0,529,-4428
1,410,2027-01-21,6,90,15,40,145,0,0,0,145,-4283
1,411,2027-01-22,16,240,33,100,373,0,0,0,373,-3910
1,412,2027-01-23,10,150,24,80,254,0,0,0,254,-3656
1,413,2027-01-24,13,195,42,140,377,0,300,300,77,-3579
1,414,2027-01-25,9,135,30,20,185,0,0,0,185,-3394
1,415,2027-01-26,8,120,24,40,184,0,0,0,184,-3210
1,416,2027-01-27,4,60,18,0,78,0,0,0,78,-3132
1,417,2027-01-28,16,240,60,100,400,0,0,0,400,-2732
1,418,2027-01-29,9,135,24,140,299,0,0,0,299,-2433
